CO_CURSO,CO_AREA,NM_AREA
1260490,7,Saúde e Bem-Estar
1206515,5,Engenharia
1260583,3,Ciências Sociais
1160724,5,Engenharia
1313833,8,Serviços
123710,3,Ciências Sociais
1439955,4,Ciências
75252,1,Educação
1271935,3,Ciências Sociais
57134,4,Ciências
73163,7,Saúde e Bem-Estar
14091,7,Saúde e Bem-Estar
13618,1,Educação
1187689,3,Ciências Sociais
20300,5,Engenharia
120761,1,Educação
1262589,7,Saúde e Bem-Estar
12105,1,Educação
1132814,1,Educação
101594,1,Educação
69060,7,Saúde e Bem-Estar
38146,3,Ciências Sociais
1185157,5,Engenharia
70387,3,Ciências Sociais
72051,4,Ciências
1188375,4,Ciências
1191342,5,Engenharia
58354,7,Saúde e Bem-Estar
1190617,5,Engenharia
21518,1,Educação
5702,1,Educação
22087,1,Educação
1111528,5,Engenharia
114053,1,Educação
95151,7,Saúde e Bem-Estar
6395,3,Ciências Sociais
99822,7,Saúde e Bem-Estar
1111341,7,Saúde e Bem-Estar
41624,5,Engenharia
109877,3,Ciências Sociais
20850,5,Engenharia
1138947,4,Ciências
14217,4,Ciências
110808,5,Engenharia
1354303,3,Ciências Sociais
151,1,Educação
113575,3,Ciências Sociais
1069509,3,Ciências Sociais
300684,4,Ciências
14247,5,Engenharia
98964,6,Agricultura e Veterinária
1151587,3,Ciências Sociais
1327353,4,Ciências
1117376,5,Engenharia
1102784,1,Educação
106492,5,Engenharia
58619,3,Ciências Sociais
1205968,3,Ciências Sociais
1134486,3,Ciências Sociais
1330023,3,Ciências Sociais
1160969,5,Engenharia
1166783,4,Ciências
1205076,3,Ciências Sociais
87910,7,Saúde e Bem-Estar
1283972,1,Educação
1192918,3,Ciências Sociais
15629,1,Educação
1259204,7,Saúde e Bem-Estar
66011,1,Educação
69762,3,Ciências Sociais
302007,4,Ciências
94766,5,Engenharia
105456,4,Ciências
1292748,4,Ciências
17546,3,Ciências Sociais
76381,7,Saúde e Bem-Estar
50617,5,Engenharia
1261702,3,Ciências Sociais
106829,2,Humanidades e Artes
1155961,1,Educação
3199,3,Ciências Sociais
123602,7,Saúde e Bem-Estar
24225,1,Educação
18399,1,Educação
72571,7,Saúde e Bem-Estar
38612,5,Engenharia
13707,5,Engenharia
123444,2,Humanidades e Artes
1261138,5,Engenharia
88636,5,Engenharia
1260522,1,Educação
1299529,3,Ciências Sociais
100175,8,Serviços
1305138,7,Saúde e Bem-Estar
10807,3,Ciências Sociais
112080,3,Ciências Sociais
100806,5,Engenharia
5000767,1,Educação
1204447,3,Ciências Sociais
67969,3,Ciências Sociais
92042,3,Ciências Sociais
102389,3,Ciências Sociais
120529,1,Educação
112466,2,Humanidades e Artes
47918,7,Saúde e Bem-Estar
108312,8,Serviços
1404068,1,Educação
5000027,2,Humanidades e Artes
7517,3,Ciências Sociais
13405,1,Educação
1111011,5,Engenharia
52904,3,Ciências Sociais
83034,1,Educação
1136520,3,Ciências Sociais
73838,4,Ciências
59632,1,Educação
49031,3,Ciências Sociais
1112099,5,Engenharia
83898,1,Educação
486,7,Saúde e Bem-Estar
358380,2,Humanidades e Artes
91897,7,Saúde e Bem-Estar
18969,1,Educação
1152849,4,Ciências
118602,3,Ciências Sociais
90697,1,Educação
11458,3,Ciências Sociais
1181130,5,Engenharia
1153435,2,Humanidades e Artes
75380,3,Ciências Sociais
18518,4,Ciências
104868,4,Ciências
14972,3,Ciências Sociais
18471,5,Engenharia
17242,3,Ciências Sociais
1102216,5,Engenharia
1161836,3,Ciências Sociais
64547,7,Saúde e Bem-Estar
118410,5,Engenharia
1331428,1,Educação
1151202,5,Engenharia
49956,3,Ciências Sociais
112322,4,Ciências
40954,5,Engenharia
92301,3,Ciências Sociais
5623,7,Saúde e Bem-Estar
84912,3,Ciências Sociais
73911,3,Ciências Sociais
1279506,5,Engenharia
18664,3,Ciências Sociais
101936,3,Ciências Sociais
1190159,1,Educação
1172903,3,Ciências Sociais
85754,5,Engenharia
118532,1,Educação
39425,3,Ciências Sociais
108654,6,Agricultura e Veterinária
101578,1,Educação
1284559,5,Engenharia
1284531,3,Ciências Sociais
1304529,3,Ciências Sociais
89012,4,Ciências
16601,5,Engenharia
112024,4,Ciências
1204324,5,Engenharia
1173440,7,Saúde e Bem-Estar
1257915,5,Engenharia
8365,3,Ciências Sociais
1046661,3,Ciências Sociais
15628,1,Educação
93033,1,Educação
54538,4,Ciências
73528,6,Agricultura e Veterinária
1292701,5,Engenharia
74673,3,Ciências Sociais
73894,5,Engenharia
104626,3,Ciências Sociais
14096,7,Saúde e Bem-Estar
116868,4,Ciências
1330710,2,Humanidades e Artes
19312,3,Ciências Sociais
94455,4,Ciências
1127989,6,Agricultura e Veterinária
1357953,5,Engenharia
72869,3,Ciências Sociais
1260923,8,Serviços
51537,1,Educação
1134850,4,Ciências
74032,5,Engenharia
46242,1,Educação
46188,3,Ciências Sociais
18779,3,Ciências Sociais
1157131,5,Engenharia
82741,3,Ciências Sociais
1313190,6,Agricultura e Veterinária
7637,3,Ciências Sociais
21919,3,Ciências Sociais
1200064,5,Engenharia
1176944,3,Ciências Sociais
60430,4,Ciências
1382521,1,Educação
1123235,3,Ciências Sociais
100030,1,Educação
1154629,3,Ciências Sociais
113108,6,Agricultura e Veterinária
41712,5,Engenharia
20020,1,Educação
90827,3,Ciências Sociais
1161834,1,Educação
66999,3,Ciências Sociais
107974,3,Ciências Sociais
19492,1,Educação
115968,5,Engenharia
1282899,4,Ciências
100298,1,Educação
17662,7,Saúde e Bem-Estar
33454,3,Ciências Sociais
1109848,5,Engenharia
1287857,5,Engenharia
1286923,1,Educação
71396,7,Saúde e Bem-Estar
1284791,1,Educação
1260304,5,Engenharia
1322056,4,Ciências
1285157,5,Engenharia
1357700,6,Agricultura e Veterinária
1258750,5,Engenharia
17118,3,Ciências Sociais
1183292,8,Serviços
1304817,5,Engenharia
75574,1,Educação
1180207,4,Ciências
94387,3,Ciências Sociais
49926,3,Ciências Sociais
1151630,5,Engenharia
1186744,8,Serviços
116432,4,Ciências
1407391,3,Ciências Sociais
39242,3,Ciências Sociais
106830,6,Agricultura e Veterinária
1330989,5,Engenharia
1399535,7,Saúde e Bem-Estar
1330366,1,Educação
104810,1,Educação
113324,3,Ciências Sociais
1321321,1,Educação
1314246,5,Engenharia
1192467,5,Engenharia
31667,3,Ciências Sociais
312560,4,Ciências
50754,4,Ciências
1153405,7,Saúde e Bem-Estar
1184530,1,Educação
102642,1,Educação
32121,3,Ciências Sociais
1375419,3,Ciências Sociais
73273,1,Educação
1204688,3,Ciências Sociais
1322128,5,Engenharia
127,4,Ciências
1185016,3,Ciências Sociais
5001053,8,Serviços
71589,7,Saúde e Bem-Estar
120400,5,Engenharia
1203288,7,Saúde e Bem-Estar
14727,6,Agricultura e Veterinária
47129,8,Serviços
113861,5,Engenharia
94973,3,Ciências Sociais
1307872,7,Saúde e Bem-Estar
1153640,5,Engenharia
1357717,7,Saúde e Bem-Estar
66629,1,Educação
1069635,5,Engenharia
30888,3,Ciências Sociais
101411,3,Ciências Sociais
120942,3,Ciências Sociais
18197,3,Ciências Sociais
19964,3,Ciências Sociais
81210,4,Ciências
96326,2,Humanidades e Artes
1330317,1,Educação
58999,7,Saúde e Bem-Estar
1343828,1,Educação
1322613,7,Saúde e Bem-Estar
113316,3,Ciências Sociais
5691,3,Ciências Sociais
1153323,3,Ciências Sociais
53340,3,Ciências Sociais
1184350,3,Ciências Sociais
5355,1,Educação
1264088,7,Saúde e Bem-Estar
1164547,5,Engenharia
1279813,3,Ciências Sociais
1082340,3,Ciências Sociais
117078,3,Ciências Sociais
111880,3,Ciências Sociais
1315421,4,Ciências
18683,4,Ciências
1322388,5,Engenharia
1259727,3,Ciências Sociais
1313197,3,Ciências Sociais
3499,1,Educação
1186945,3,Ciências Sociais
1322666,7,Saúde e Bem-Estar
1204407,3,Ciências Sociais
1206120,4,Ciências
112094,1,Educação
83426,5,Engenharia
109950,1,Educação
116536,1,Educação
1323641,3,Ciências Sociais
1055546,3,Ciências Sociais
1113161,4,Ciências
101280,1,Educação
1059198,5,Engenharia
2897,7,Saúde e Bem-Estar
39297,3,Ciências Sociais
20655,3,Ciências Sociais
123537,4,Ciências
1364616,3,Ciências Sociais
55009,1,Educação
1152607,1,Educação
12822,3,Ciências Sociais
13292,3,Ciências Sociais
20472,1,Educação
1427745,4,Ciências
100068,2,Humanidades e Artes
1283769,8,Serviços
1180608,5,Engenharia
1113541,7,Saúde e Bem-Estar
95962,3,Ciências Sociais
10508,1,Educação
1185939,3,Ciências Sociais
114095,7,Saúde e Bem-Estar
1121670,3,Ciências Sociais
7464,3,Ciências Sociais
122130,2,Humanidades e Artes
1182342,4,Ciências
121005,4,Ciências
1315515,1,Educação
17329,1,Educação
19827,1,Educação
110489,3,Ciências Sociais
3808,1,Educação
1077769,3,Ciências Sociais
123482,3,Ciências Sociais
100624,3,Ciências Sociais
1156756,3,Ciências Sociais
121848,7,Saúde e Bem-Estar
1258852,2,Humanidades e Artes
1205410,3,Ciências Sociais
47874,4,Ciências
123318,5,Engenharia
1325431,1,Educação
114405,3,Ciências Sociais
71002,1,Educação
1179042,3,Ciências Sociais
1284116,4,Ciências
1187710,1,Educação
1286857,8,Serviços
14880,5,Engenharia
1142406,3,Ciências Sociais
83484,3,Ciências Sociais
11429,1,Educação
63710,3,Ciências Sociais
90022,3,Ciências Sociais
1153899,8,Serviços
1058384,5,Engenharia
1193181,5,Engenharia
1165311,1,Educação
1363704,7,Saúde e Bem-Estar
71167,2,Humanidades e Artes
46395,1,Educação
1192286,5,Engenharia
66506,1,Educação
1315447,3,Ciências Sociais
23411,3,Ciências Sociais
107090,2,Humanidades e Artes
5000931,7,Saúde e Bem-Estar
1266530,3,Ciências Sociais
1118154,5,Engenharia
1130462,3,Ciências Sociais
45715,1,Educação
37294,3,Ciências Sociais
1268574,3,Ciências Sociais
20269,3,Ciências Sociais
51670,3,Ciências Sociais
1001031,1,Educação
35811,1,Educação
1104930,1,Educação
58198,3,Ciências Sociais
1106554,4,Ciências
31761,2,Humanidades e Artes
1284534,3,Ciências Sociais
65073,3,Ciências Sociais
98845,7,Saúde e Bem-Estar
1440,6,Agricultura e Veterinária
312558,3,Ciências Sociais
118321,1,Educação
1205931,3,Ciências Sociais
10515,4,Ciências
107828,4,Ciências
79764,3,Ciências Sociais
48587,8,Serviços
49813,5,Engenharia
1344519,8,Serviços
108776,3,Ciências Sociais
101868,3,Ciências Sociais
1178926,5,Engenharia
90501,1,Educação
1150260,3,Ciências Sociais
1364488,8,Serviços
12832,2,Humanidades e Artes
85774,1,Educação
42668,7,Saúde e Bem-Estar
1180860,7,Saúde e Bem-Estar
1281070,1,Educação
88902,7,Saúde e Bem-Estar
1106214,1,Educação
73891,4,Ciências
81243,8,Serviços
1190503,6,Agricultura e Veterinária
120439,1,Educação
1076355,7,Saúde e Bem-Estar
1186804,1,Educação
1283112,5,Engenharia
29030,3,Ciências Sociais
30732,1,Educação
18114,1,Educação
1108441,3,Ciências Sociais
1203331,5,Engenharia
114344,2,Humanidades e Artes
58118,3,Ciências Sociais
1321430,2,Humanidades e Artes
1270583,1,Educação
1054728,3,Ciências Sociais
313283,4,Ciências
1204847,5,Engenharia
1136410,3,Ciências Sociais
1304789,3,Ciências Sociais
68748,3,Ciências Sociais
1184900,3,Ciências Sociais
1322354,2,Humanidades e Artes
109810,3,Ciências Sociais
1280988,4,Ciências
19899,7,Saúde e Bem-Estar
1205591,7,Saúde e Bem-Estar
1333454,3,Ciências Sociais
1398030,1,Educação
1327344,2,Humanidades e Artes
1363707,1,Educação
1330231,3,Ciências Sociais
21552,3,Ciências Sociais
1181208,5,Engenharia
118368,3,Ciências Sociais
13090,3,Ciências Sociais
1199211,3,Ciências Sociais
1214140,5,Engenharia
120026,7,Saúde e Bem-Estar
74629,5,Engenharia
115592,5,Engenharia
1105404,1,Educação
1331875,1,Educação
7269,7,Saúde e Bem-Estar
1258062,5,Engenharia
1271987,4,Ciências
101836,3,Ciências Sociais
1191415,7,Saúde e Bem-Estar
1265543,5,Engenharia
58480,7,Saúde e Bem-Estar
1153285,3,Ciências Sociais
92649,3,Ciências Sociais
59488,7,Saúde e Bem-Estar
18159,3,Ciências Sociais
1349166,8,Serviços
1262277,5,Engenharia
100750,6,Agricultura e Veterinária
1162836,5,Engenharia
1257922,3,Ciências Sociais
1330369,1,Educação
85088,3,Ciências Sociais
111954,6,Agricultura e Veterinária
113204,7,Saúde e Bem-Estar
119372,5,Engenharia
1191638,7,Saúde e Bem-Estar
112750,5,Engenharia
1212396,1,Educação
1117754,5,Engenharia
3408,1,Educação
68153,7,Saúde e Bem-Estar
1399008,7,Saúde e Bem-Estar
56720,3,Ciências Sociais
1118934,3,Ciências Sociais
1300471,1,Educação
120767,1,Educação
85099,3,Ciências Sociais
20094,3,Ciências Sociais
109632,5,Engenharia
103494,1,Educação
69434,7,Saúde e Bem-Estar
51743,7,Saúde e Bem-Estar
1069953,7,Saúde e Bem-Estar
1186175,3,Ciências Sociais
18961,1,Educação
1299892,1,Educação
18583,7,Saúde e Bem-Estar
1151555,4,Ciências
1187364,5,Engenharia
63316,5,Engenharia
1186929,3,Ciências Sociais
1322434,7,Saúde e Bem-Estar
123322,4,Ciências
5000021,5,Engenharia
83736,5,Engenharia
14352,5,Engenharia
103370,1,Educação
1112718,4,Ciências
20842,1,Educação
1321657,1,Educação
1148662,7,Saúde e Bem-Estar
15259,3,Ciências Sociais
1365559,7,Saúde e Bem-Estar
5001227,3,Ciências Sociais
74462,4,Ciências
101526,2,Humanidades e Artes
20838,7,Saúde e Bem-Estar
98239,2,Humanidades e Artes
26611,7,Saúde e Bem-Estar
67259,7,Saúde e Bem-Estar
19303,3,Ciências Sociais
113295,1,Educação
43032,1,Educação
108848,1,Educação
8787,3,Ciências Sociais
121794,4,Ciências
1057892,3,Ciências Sociais
95781,3,Ciências Sociais
57044,3,Ciências Sociais
37265,5,Engenharia
1105328,1,Educação
110318,2,Humanidades e Artes
1191488,8,Serviços
49028,3,Ciências Sociais
12012,8,Serviços
66268,3,Ciências Sociais
47059,1,Educação
12003,5,Engenharia
1121680,5,Engenharia
1121183,7,Saúde e Bem-Estar
1160155,3,Ciências Sociais
72818,7,Saúde e Bem-Estar
59566,1,Educação
43148,7,Saúde e Bem-Estar
113183,3,Ciências Sociais
1280435,1,Educação
1268136,5,Engenharia
1113011,7,Saúde e Bem-Estar
120497,3,Ciências Sociais
1073520,3,Ciências Sociais
1160260,1,Educação
1104027,3,Ciências Sociais
118994,4,Ciências
1260611,5,Engenharia
1204226,7,Saúde e Bem-Estar
59118,7,Saúde e Bem-Estar
1358038,3,Ciências Sociais
49369,5,Engenharia
66335,1,Educação
98546,1,Educação
107820,3,Ciências Sociais
92687,3,Ciências Sociais
21115,4,Ciências
54860,5,Engenharia
119242,3,Ciências Sociais
113958,1,Educação
1313314,7,Saúde e Bem-Estar
1330343,1,Educação
1205049,5,Engenharia
1352994,4,Ciências
115174,3,Ciências Sociais
1322751,3,Ciências Sociais
150214,3,Ciências Sociais
97637,4,Ciências
53119,5,Engenharia
49550,3,Ciências Sociais
67191,1,Educação
53786,5,Engenharia
3148,7,Saúde e Bem-Estar
14233,1,Educação
107653,5,Engenharia
1323006,3,Ciências Sociais
73434,3,Ciências Sociais
1165999,2,Humanidades e Artes
96771,1,Educação
417492,1,Educação
1100045,5,Engenharia
5000421,7,Saúde e Bem-Estar
121093,7,Saúde e Bem-Estar
48679,4,Ciências
59940,1,Educação
71115,1,Educação
1177701,5,Engenharia
107550,7,Saúde e Bem-Estar
105198,3,Ciências Sociais
1364599,3,Ciências Sociais
1299936,5,Engenharia
1321677,4,Ciências
1188894,8,Serviços
50110,3,Ciências Sociais
116402,4,Ciências
1438270,5,Engenharia
1299578,7,Saúde e Bem-Estar
91367,3,Ciências Sociais
1123286,3,Ciências Sociais
102038,1,Educação
95121,1,Educação
1382646,1,Educação
1330112,1,Educação
10506,5,Engenharia
1322265,7,Saúde e Bem-Estar
9226,7,Saúde e Bem-Estar
1125664,4,Ciências
1284365,3,Ciências Sociais
21535,7,Saúde e Bem-Estar
1168204,7,Saúde e Bem-Estar
1190949,3,Ciências Sociais
13431,4,Ciências
25605,1,Educação
1266717,5,Engenharia
313984,2,Humanidades e Artes
1147871,5,Engenharia
1321639,4,Ciências
150219,3,Ciências Sociais
17912,3,Ciências Sociais
10965,3,Ciências Sociais
59309,3,Ciências Sociais
70532,1,Educação
1186267,3,Ciências Sociais
75911,8,Serviços
1321542,6,Agricultura e Veterinária
14615,7,Saúde e Bem-Estar
44369,1,Educação
47714,6,Agricultura e Veterinária
115888,1,Educação
1156532,7,Saúde e Bem-Estar
3571,1,Educação
1204182,7,Saúde e Bem-Estar
15862,1,Educação
1152085,3,Ciências Sociais
21622,7,Saúde e Bem-Estar
54846,3,Ciências Sociais
107411,3,Ciências Sociais
1261039,5,Engenharia
1150419,4,Ciências
65012,2,Humanidades e Artes
96317,3,Ciências Sociais
1322246,7,Saúde e Bem-Estar
1300473,3,Ciências Sociais
1177662,5,Engenharia
108150,3,Ciências Sociais
96899,3,Ciências Sociais
120383,5,Engenharia
95500,3,Ciências Sociais
82854,5,Engenharia
1376347,4,Ciências
1137898,5,Engenharia
56730,3,Ciências Sociais
1158358,1,Educação
108620,1,Educação
1128225,1,Educação
1189580,3,Ciências Sociais
101856,1,Educação
38852,3,Ciências Sociais
100342,8,Serviços
1177757,3,Ciências Sociais
23424,3,Ciências Sociais
89183,2,Humanidades e Artes
1268023,1,Educação
99052,3,Ciências Sociais
108692,4,Ciências
1183295,3,Ciências Sociais
65643,3,Ciências Sociais
1185330,1,Educação
21794,1,Educação
1407392,3,Ciências Sociais
5383,3,Ciências Sociais
1179738,7,Saúde e Bem-Estar
64660,5,Engenharia
105986,4,Ciências
1321699,5,Engenharia
518,4,Ciências
46359,3,Ciências Sociais
44520,5,Engenharia
33013,1,Educação
1397961,8,Serviços
1193963,5,Engenharia
22018,3,Ciências Sociais
1304467,3,Ciências Sociais
1193408,3,Ciências Sociais
23976,4,Ciências
56803,7,Saúde e Bem-Estar
75203,1,Educação
1207117,5,Engenharia
88900,3,Ciências Sociais
47791,3,Ciências Sociais
118636,5,Engenharia
112412,5,Engenharia
51283,1,Educação
1287595,2,Humanidades e Artes
117510,7,Saúde e Bem-Estar
108725,7,Saúde e Bem-Estar
50809,7,Saúde e Bem-Estar
8766,1,Educação
1401498,5,Engenharia
1344109,5,Engenharia
1279825,7,Saúde e Bem-Estar
12001,5,Engenharia
1134739,1,Educação
1178662,4,Ciências
19963,3,Ciências Sociais
1190440,4,Ciências
16240,3,Ciências Sociais
1364469,1,Educação
112008,5,Engenharia
1166235,5,Engenharia
1349164,1,Educação
12325,7,Saúde e Bem-Estar
1155122,1,Educação
300520,1,Educação
11886,1,Educação
88606,1,Educação
1127165,5,Engenharia
16817,3,Ciências Sociais
1313839,3,Ciências Sociais
1153353,3,Ciências Sociais
1152150,5,Engenharia
54938,3,Ciências Sociais
1185450,1,Educação
1150341,5,Engenharia
19222,3,Ciências Sociais
42362,3,Ciências Sociais
1178746,1,Educação
109790,4,Ciências
103666,1,Educação
112544,7,Saúde e Bem-Estar
88906,1,Educação
90629,3,Ciências Sociais
32987,1,Educação
17345,3,Ciências Sociais
1109045,4,Ciências
317,4,Ciências
20135,5,Engenharia
12699,3,Ciências Sociais
1260264,3,Ciências Sociais
99312,3,Ciências Sociais
1179201,3,Ciências Sociais
68163,1,Educação
92947,5,Engenharia
1349451,3,Ciências Sociais
5000800,8,Serviços
75309,2,Humanidades e Artes
1331496,7,Saúde e Bem-Estar
72886,3,Ciências Sociais
100340,5,Engenharia
116584,7,Saúde e Bem-Estar
1350699,1,Educação
1285225,1,Educação
1150202,3,Ciências Sociais
121773,5,Engenharia
102217,4,Ciências
1076421,4,Ciências
1300122,1,Educação
1189815,3,Ciências Sociais
117595,3,Ciências Sociais
19781,3,Ciências Sociais
1171749,5,Engenharia
1315664,4,Ciências
100002,5,Engenharia
1114302,2,Humanidades e Artes
39246,3,Ciências Sociais
1102191,2,Humanidades e Artes
1300124,5,Engenharia
1261118,7,Saúde e Bem-Estar
1135071,3,Ciências Sociais
107553,1,Educação
1167088,3,Ciências Sociais
1323877,3,Ciências Sociais
1293147,3,Ciências Sociais
1285545,4,Ciências
110193,3,Ciências Sociais
34669,1,Educação
1177360,3,Ciências Sociais
1283883,8,Serviços
47870,3,Ciências Sociais
9441,3,Ciências Sociais
1127900,5,Engenharia
1183687,4,Ciências
18210,3,Ciências Sociais
45960,3,Ciências Sociais
13852,3,Ciências Sociais
1119031,5,Engenharia
1129073,1,Educação
90101,3,Ciências Sociais
112352,1,Educação
117570,5,Engenharia
1364620,4,Ciências
74168,2,Humanidades e Artes
90473,5,Engenharia
31506,1,Educação
117630,1,Educação
96088,3,Ciências Sociais
65717,3,Ciências Sociais
18571,6,Agricultura e Veterinária
1105,8,Serviços
102206,5,Engenharia
56085,7,Saúde e Bem-Estar
10150,7,Saúde e Bem-Estar
120040,3,Ciências Sociais
116506,1,Educação
329351,2,Humanidades e Artes
1374949,1,Educação
1187554,1,Educação
110826,3,Ciências Sociais
65958,3,Ciências Sociais
1166528,3,Ciências Sociais
19984,1,Educação
1315475,5,Engenharia
53916,7,Saúde e Bem-Estar
119238,3,Ciências Sociais
1114907,3,Ciências Sociais
1258882,5,Engenharia
57292,5,Engenharia
1169961,3,Ciências Sociais
65731,3,Ciências Sociais
16860,3,Ciências Sociais
75382,2,Humanidades e Artes
104682,3,Ciências Sociais
99006,1,Educação
1288409,7,Saúde e Bem-Estar
99475,1,Educação
1316311,1,Educação
91607,8,Serviços
98577,7,Saúde e Bem-Estar
1323259,5,Engenharia
89959,3,Ciências Sociais
1167070,5,Engenharia
45153,3,Ciências Sociais
1202516,1,Educação
114886,3,Ciências Sociais
99627,1,Educação
99189,1,Educação
65101,1,Educação
84854,3,Ciências Sociais
66911,4,Ciências
5961,3,Ciências Sociais
1179947,8,Serviços
50461,4,Ciências
28890,1,Educação
111732,4,Ciências
315,1,Educação
1106930,7,Saúde e Bem-Estar
1321453,6,Agricultura e Veterinária
12814,7,Saúde e Bem-Estar
90091,7,Saúde e Bem-Estar
1105133,1,Educação
1133188,3,Ciências Sociais
108407,3,Ciências Sociais
1352535,5,Engenharia
99370,1,Educação
46564,3,Ciências Sociais
41669,3,Ciências Sociais
1382663,1,Educação
1140276,3,Ciências Sociais
55837,5,Engenharia
92853,6,Agricultura e Veterinária
1214578,3,Ciências Sociais
20235,4,Ciências
103311,5,Engenharia
59029,3,Ciências Sociais
1203645,5,Engenharia
64620,5,Engenharia
116974,3,Ciências Sociais
1257911,5,Engenharia
1190583,1,Educação
67588,7,Saúde e Bem-Estar
1313311,7,Saúde e Bem-Estar
21599,7,Saúde e Bem-Estar
1107362,8,Serviços
111162,7,Saúde e Bem-Estar
48567,3,Ciências Sociais
368683,4,Ciências
111986,1,Educação
1385242,8,Serviços
1181410,3,Ciências Sociais
1207235,1,Educação
98474,1,Educação
1203315,5,Engenharia
1262485,1,Educação
4196,1,Educação
68831,3,Ciências Sociais
73007,3,Ciências Sociais
74348,3,Ciências Sociais
1313029,3,Ciências Sociais
1183632,1,Educação
98052,3,Ciências Sociais
46027,1,Educação
51235,1,Educação
1257912,5,Engenharia
1308693,7,Saúde e Bem-Estar
119830,3,Ciências Sociais
59644,7,Saúde e Bem-Estar
1204234,5,Engenharia
104640,1,Educação
64791,3,Ciências Sociais
38525,7,Saúde e Bem-Estar
113438,5,Engenharia
69381,4,Ciências
88584,3,Ciências Sociais
86687,5,Engenharia
1157453,1,Educação
51970,5,Engenharia
29980,3,Ciências Sociais
43427,3,Ciências Sociais
102912,3,Ciências Sociais
1172723,3,Ciências Sociais
1100005,3,Ciências Sociais
74066,5,Engenharia
1427469,7,Saúde e Bem-Estar
1104489,5,Engenharia
115998,1,Educação
113208,3,Ciências Sociais
112604,2,Humanidades e Artes
111094,8,Serviços
7492,7,Saúde e Bem-Estar
1322701,5,Engenharia
11454,8,Serviços
1284544,5,Engenharia
21856,5,Engenharia
68590,7,Saúde e Bem-Estar
1322603,3,Ciências Sociais
121284,4,Ciências
35400,3,Ciências Sociais
1075099,5,Engenharia
103873,3,Ciências Sociais
1166768,7,Saúde e Bem-Estar
29489,1,Educação
1172403,5,Engenharia
1322119,7,Saúde e Bem-Estar
90325,5,Engenharia
